11-28 20:49:53: Training starting...
11-28 20:49:54: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-28 20:49:54: New best reward -7.5 (-7.4%) at episode 7, saving model...
11-28 20:49:54: New best reward -6.3 (-16.0%) at episode 8, saving model...
11-28 20:49:54: New best reward -5.7 (-9.5%) at episode 53, saving model...
11-28 20:49:55: New best reward -5.1 (-10.5%) at episode 84, saving model...
11-28 20:49:55: New best reward -4.5 (-11.8%) at episode 110, saving model...
11-28 20:49:55: New best reward -3.3 (-26.7%) at episode 247, saving model...
11-28 20:49:58: New best reward -0.9 (-72.7%) at episode 736, saving model...
11-28 20:50:01: New best reward 2.7 (-400.0%) at episode 1263, saving model...
11-28 20:50:07: New best reward 3.9 (+44.4%) at episode 2498, saving model...
11-28 20:50:24: New best reward 4.7 (+20.5%) at episode 5211, saving model...
11-28 20:51:08: New best reward 6.0 (+27.7%) at episode 11867, saving model...
11-28 20:51:40: New best reward 6.2 (+3.3%) at episode 16187, saving model...
11-28 20:51:44: New best reward 8.4 (+35.5%) at episode 16658, saving model...
11-28 20:52:01: New best reward 8.7 (+3.6%) at episode 18739, saving model...
