11-29 12:11:03: Training starting...
11-29 12:11:04: New best reward 11.1 (-100.0%) at episode 0, saving model...
11-29 12:11:04: New best reward 11.7 (+5.4%) at episode 1, saving model...
11-29 12:11:05: New best reward 12.0 (+2.6%) at episode 4, saving model...
11-29 12:11:05: New best reward 13.8 (+15.0%) at episode 6, saving model...
11-29 12:11:30: New best reward 14.1 (+2.2%) at episode 221, saving model...
11-29 12:12:42: New best reward 14.4 (+2.1%) at episode 849, saving model...
11-29 12:13:27: New best reward 14.7 (+2.1%) at episode 1237, saving model...
11-29 12:14:33: New best reward 15.3 (+4.1%) at episode 1807, saving model...
11-29 12:17:10: New best reward 15.3 (+0.0%) at episode 3145, saving model...
11-29 12:18:27: New best reward 16.2 (+5.9%) at episode 3802, saving model...
11-29 12:22:48: New best reward 16.5 (+1.9%) at episode 6037, saving model...
11-29 12:27:36: New best reward 16.8 (+1.8%) at episode 8478, saving model...
11-29 12:29:22: New best reward 17.4 (+3.6%) at episode 9372, saving model...
11-29 12:36:17: New best reward 17.4 (+0.0%) at episode 12856, saving model...
11-29 12:42:58: New best reward 17.7 (+1.7%) at episode 15880, saving model...
11-29 12:46:42: New best reward 17.7 (+0.0%) at episode 17560, saving model...
11-29 12:47:23: New best reward 18.0 (+1.7%) at episode 17868, saving model...
11-29 12:55:59: New best reward 18.3 (+1.7%) at episode 21750, saving model...
11-29 13:03:54: New best reward 18.6 (+1.6%) at episode 25302, saving model...
11-29 14:01:03: New best reward 24.2 (+30.1%) at episode 49848, saving model...
11-29 14:22:31: New best reward 35.0 (+44.6%) at episode 58333, saving model...
