11-26 10:54:50: Training starting...
11-26 10:54:52: New best reward 10.0 (-100.0%) at episode 0, saving model...
11-26 10:54:52: New best reward 16.0 (+60.0%) at episode 1, saving model...
11-26 10:54:52: New best reward 29.0 (+81.2%) at episode 2, saving model...
11-26 10:54:52: New best reward 33.0 (+13.8%) at episode 11, saving model...
11-26 10:54:52: New best reward 42.0 (+27.3%) at episode 12, saving model...
11-26 10:54:52: New best reward 44.0 (+4.8%) at episode 19, saving model...
11-26 10:54:52: New best reward 64.0 (+45.5%) at episode 25, saving model...
11-26 10:54:53: New best reward 80.0 (+25.0%) at episode 269, saving model...
11-26 10:54:53: New best reward 82.0 (+2.5%) at episode 280, saving model...
11-26 10:54:59: New best reward 101.0 (+23.2%) at episode 2429, saving model...
11-26 10:55:02: New best reward 154.0 (+52.5%) at episode 2867, saving model...
11-26 10:55:16: New best reward 160.0 (+3.9%) at episode 5844, saving model...
11-26 10:55:16: New best reward 163.0 (+1.9%) at episode 5853, saving model...
11-26 10:55:16: New best reward 202.0 (+23.9%) at episode 5878, saving model...
11-26 10:55:16: New best reward 324.0 (+60.4%) at episode 5880, saving model...
11-26 10:55:17: New best reward 542.0 (+67.3%) at episode 5934, saving model...
11-26 10:55:22: New best reward 608.0 (+12.2%) at episode 6328, saving model...
11-26 10:55:22: New best reward 826.0 (+35.9%) at episode 6344, saving model...
11-26 10:55:42: New best reward 1137.0 (+37.7%) at episode 8775, saving model...
11-26 10:55:42: New best reward 4070.0 (+258.0%) at episode 8780, saving model...
11-26 10:55:43: New best reward 6319.0 (+55.3%) at episode 8782, saving model...
11-26 10:55:44: New best reward 11482.0 (+81.7%) at episode 8783, saving model...
11-26 11:04:25: New best reward 27613.0 (+140.5%) at episode 29767, saving model...
11-26 11:04:57: New best reward 28042.0 (+1.6%) at episode 30069, saving model...
11-26 11:05:30: New best reward 43180.0 (+54.0%) at episode 30192, saving model...
11-26 11:05:43: New best reward 80689.0 (+86.9%) at episode 30200, saving model...
11-26 11:07:08: New best reward 100000.0 (+23.9%) at episode 30767, saving model...
