11-30 00:15:16: Training starting...
11-30 00:15:18: New best reward 3.9 (-100.0%) at episode 0, saving model...
11-30 00:15:18: New best reward 3.9 (+0.0%) at episode 1, saving model...
11-30 00:15:18: New best reward 3.9 (+0.0%) at episode 2, saving model...
11-30 00:15:18: New best reward 3.9 (+0.0%) at episode 4, saving model...
11-30 00:15:18: New best reward 3.9 (+0.0%) at episode 6, saving model...
11-30 00:15:18: New best reward 3.9 (+0.0%) at episode 8, saving model...
11-30 00:15:19: New best reward 3.9 (+0.0%) at episode 18, saving model...
11-30 00:18:17: New best reward 3.9 (+0.0%) at episode 2627, saving model...
11-30 00:20:26: New best reward 3.9 (+0.0%) at episode 4476, saving model...
11-30 00:21:22: New best reward 3.9 (+0.0%) at episode 5289, saving model...
11-30 00:23:05: New best reward 3.9 (+0.0%) at episode 6749, saving model...
11-30 00:23:55: New best reward 3.9 (+0.0%) at episode 7452, saving model...
11-30 00:23:58: New best reward 3.9 (+0.0%) at episode 7499, saving model...
11-30 00:25:34: New best reward 4.8 (+23.1%) at episode 8867, saving model...
11-30 00:30:18: New best reward 6.1 (+27.1%) at episode 12877, saving model...
11-30 00:43:40: New best reward 8.4 (+37.7%) at episode 24286, saving model...
11-30 00:47:17: New best reward 8.4 (+0.0%) at episode 27323, saving model...
11-30 00:51:33: New best reward 8.4 (+0.0%) at episode 30873, saving model...
11-30 00:52:42: New best reward 10.5 (+25.0%) at episode 31827, saving model...
11-30 00:55:25: New best reward 14.0 (+33.3%) at episode 34048, saving model...
11-30 01:01:33: New best reward 17.9 (+27.9%) at episode 39005, saving model...
11-30 01:06:27: New best reward 17.9 (+0.0%) at episode 42828, saving model...
11-30 01:09:05: New best reward 18.0 (+0.6%) at episode 44815, saving model...
11-30 01:09:27: New best reward 20.6 (+14.4%) at episode 45094, saving model...
11-30 01:11:40: New best reward 20.8 (+1.0%) at episode 46745, saving model...
11-30 01:18:26: New best reward 26.9 (+29.3%) at episode 51657, saving model...
11-30 01:27:14: New best reward 27.5 (+2.2%) at episode 57677, saving model...
11-30 01:32:28: New best reward 36.4 (+32.4%) at episode 61175, saving model...
11-30 01:46:31: New best reward 38.7 (+6.3%) at episode 70272, saving model...
11-30 02:12:12: New best reward 39.0 (+0.8%) at episode 85942, saving model...
11-30 02:47:52: New best reward 43.1 (+10.5%) at episode 107354, saving model...
11-30 02:48:35: New best reward 43.1 (+0.0%) at episode 107758, saving model...
11-30 03:01:02: New best reward 45.9 (+6.5%) at episode 114985, saving model...
11-30 03:39:50: New best reward 47.0 (+2.4%) at episode 137148, saving model...
11-30 05:06:27: New best reward 52.7 (+12.1%) at episode 184157, saving model...
11-30 05:55:03: New best reward 52.9 (+0.4%) at episode 209873, saving model...
11-30 08:40:01: New best reward 57.4 (+8.5%) at episode 293744, saving model...
11-30 18:45:40: New best reward 71.8 (+25.1%) at episode 528966, saving model...
