11-30 17:56:07: Training starting...
11-30 17:56:09: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-30 17:56:09: New best reward -2.7 (-66.7%) at episode 1, saving model...
11-30 17:56:10: New best reward -2.1 (-22.2%) at episode 35, saving model...
11-30 17:56:12: New best reward -1.5 (-28.6%) at episode 193, saving model...
11-30 17:56:15: New best reward 0.3 (-120.0%) at episode 525, saving model...
11-30 17:56:21: New best reward 1.5 (+400.0%) at episode 1295, saving model...
11-30 17:56:32: New best reward 3.9 (+160.0%) at episode 2540, saving model...
11-30 17:57:45: New best reward 4.4 (+12.8%) at episode 9456, saving model...
11-30 17:58:43: New best reward 4.5 (+2.3%) at episode 14130, saving model...
11-30 17:58:46: New best reward 4.7 (+4.4%) at episode 14470, saving model...
11-30 17:58:53: New best reward 6.4 (+36.2%) at episode 15024, saving model...
11-30 18:27:16: New best reward 6.5 (+1.6%) at episode 122568, saving model...
11-30 18:28:27: New best reward 6.6 (+1.5%) at episode 126246, saving model...
11-30 18:28:52: New best reward 6.8 (+3.0%) at episode 127446, saving model...
11-30 18:29:00: New best reward 8.4 (+23.5%) at episode 127741, saving model...
11-30 18:29:03: New best reward 12.9 (+53.6%) at episode 127883, saving model...
11-30 18:29:03: New best reward 13.7 (+6.2%) at episode 127902, saving model...
11-30 18:29:06: New best reward 17.9 (+30.7%) at episode 128058, saving model...
11-30 18:29:18: New best reward 20.8 (+16.2%) at episode 128648, saving model...
11-30 18:29:26: New best reward 22.4 (+7.7%) at episode 129002, saving model...
11-30 18:29:36: New best reward 31.9 (+42.4%) at episode 129473, saving model...
11-30 18:30:40: New best reward 34.2 (+7.2%) at episode 132489, saving model...
11-30 18:31:07: New best reward 36.4 (+6.4%) at episode 133789, saving model...
11-30 18:31:47: New best reward 37.0 (+1.6%) at episode 135600, saving model...
11-30 18:34:00: New best reward 40.9 (+10.5%) at episode 141521, saving model...
11-30 18:35:08: New best reward 43.2 (+5.6%) at episode 144523, saving model...
11-30 18:36:41: New best reward 46.0 (+6.5%) at episode 148300, saving model...
11-30 18:38:57: New best reward 48.6 (+5.7%) at episode 153818, saving model...
11-30 18:40:16: New best reward 50.4 (+3.7%) at episode 156922, saving model...
11-30 18:40:25: New best reward 59.9 (+18.8%) at episode 157259, saving model...
11-30 18:56:49: New best reward 60.3 (+0.7%) at episode 193338, saving model...
11-30 18:56:57: New best reward 65.6 (+8.8%) at episode 193616, saving model...
11-30 19:14:07: New best reward 78.4 (+19.5%) at episode 230149, saving model...
11-30 19:49:28: New best reward 78.5 (+0.1%) at episode 297074, saving model...
11-30 19:53:43: New best reward 88.5 (+12.7%) at episode 304322, saving model...
