11-29 16:32:49: Training starting...
11-29 16:32:51: New best reward -6.9 (-100.0%) at episode 0, saving model...
11-29 16:32:51: New best reward -6.3 (-8.7%) at episode 16, saving model...
11-29 16:32:51: New best reward -5.1 (-19.0%) at episode 47, saving model...
11-29 16:32:52: New best reward -3.3 (-35.3%) at episode 78, saving model...
11-29 16:32:55: New best reward -0.9 (-72.7%) at episode 519, saving model...
11-29 16:33:04: New best reward 1.5 (-266.7%) at episode 1699, saving model...
11-29 16:33:11: New best reward 3.9 (+160.0%) at episode 2562, saving model...
11-29 16:33:52: New best reward 4.7 (+20.5%) at episode 7091, saving model...
11-29 16:34:56: New best reward 6.1 (+29.8%) at episode 13390, saving model...
11-29 16:35:33: New best reward 8.4 (+37.7%) at episode 16698, saving model...
11-29 16:50:06: New best reward 9.0 (+7.1%) at episode 78633, saving model...
11-29 16:50:57: New best reward 17.9 (+98.9%) at episode 81804, saving model...
11-29 16:53:00: New best reward 18.5 (+3.4%) at episode 89048, saving model...
11-29 16:53:29: New best reward 22.5 (+21.6%) at episode 90721, saving model...
11-29 16:56:20: New best reward 27.5 (+22.2%) at episode 100022, saving model...
11-29 16:57:35: New best reward 36.4 (+32.4%) at episode 103755, saving model...
11-29 17:02:18: New best reward 37.5 (+3.0%) at episode 117647, saving model...
11-29 17:03:16: New best reward 45.9 (+22.4%) at episode 120227, saving model...
11-29 17:03:30: New best reward 50.4 (+9.8%) at episode 120862, saving model...
11-29 17:03:59: New best reward 54.9 (+8.9%) at episode 122054, saving model...
11-29 17:12:30: New best reward 61.0 (+11.1%) at episode 142495, saving model...
11-29 17:22:58: New best reward 64.4 (+5.6%) at episode 165890, saving model...
11-29 17:26:27: New best reward 73.9 (+14.8%) at episode 173292, saving model...
11-29 17:43:29: New best reward 78.4 (+6.1%) at episode 208928, saving model...
11-29 17:56:02: New best reward 97.1 (+23.9%) at episode 232390, saving model...
11-29 18:08:10: New best reward 100.1 (+3.1%) at episode 253391, saving model...
