11-30 21:37:57: Training starting...
11-30 21:37:58: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-30 21:37:58: New best reward -5.7 (-29.6%) at episode 1, saving model...
11-30 21:37:58: New best reward -5.1 (-10.5%) at episode 6, saving model...
11-30 21:37:59: New best reward -3.9 (-23.5%) at episode 83, saving model...
11-30 21:37:59: New best reward -3.3 (-15.4%) at episode 123, saving model...
11-30 21:38:01: New best reward -2.7 (-18.2%) at episode 420, saving model...
11-30 21:38:03: New best reward -0.3 (-88.9%) at episode 588, saving model...
11-30 21:38:06: New best reward 3.3 (-1200.0%) at episode 933, saving model...
11-30 21:38:11: New best reward 3.9 (+18.2%) at episode 1535, saving model...
11-30 21:39:22: New best reward 4.2 (+7.7%) at episode 9136, saving model...
11-30 21:39:38: New best reward 4.7 (+11.9%) at episode 10754, saving model...
11-30 21:39:46: New best reward 6.1 (+29.8%) at episode 11479, saving model...
11-30 21:40:29: New best reward 6.5 (+6.6%) at episode 15459, saving model...
11-30 21:40:50: New best reward 6.6 (+1.5%) at episode 17305, saving model...
11-30 21:41:00: New best reward 7.8 (+18.2%) at episode 18198, saving model...
11-30 21:41:17: New best reward 8.4 (+7.7%) at episode 19694, saving model...
11-30 23:11:58: New best reward 8.7 (+3.6%) at episode 307610, saving model...
11-30 23:12:01: New best reward 11.2 (+28.7%) at episode 307752, saving model...
11-30 23:12:01: New best reward 12.9 (+15.2%) at episode 307762, saving model...
11-30 23:12:09: New best reward 17.9 (+38.8%) at episode 308003, saving model...
11-30 23:12:10: New best reward 22.4 (+25.1%) at episode 308030, saving model...
11-30 23:12:57: New best reward 27.3 (+21.9%) at episode 309590, saving model...
11-30 23:13:19: New best reward 36.4 (+33.3%) at episode 310347, saving model...
11-30 23:15:16: New best reward 40.9 (+12.4%) at episode 313979, saving model...
11-30 23:20:17: New best reward 50.4 (+23.2%) at episode 322900, saving model...
11-30 23:23:27: New best reward 54.9 (+8.9%) at episode 328061, saving model...
11-30 23:26:08: New best reward 60.2 (+9.7%) at episode 332210, saving model...
11-30 23:40:13: New best reward 76.1 (+26.4%) at episode 353389, saving model...
11-30 23:54:02: New best reward 83.0 (+9.1%) at episode 373190, saving model...
12-01 00:19:24: New best reward 85.8 (+3.4%) at episode 406382, saving model...
12-01 00:57:57: New best reward 87.9 (+2.4%) at episode 449942, saving model...
12-01 01:30:33: New best reward 129.9 (+47.8%) at episode 482010, saving model...
