11-30 17:37:21: Training starting...
11-30 17:37:23: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-30 17:37:23: New best reward -6.9 (-14.8%) at episode 1, saving model...
11-30 17:37:23: New best reward -3.9 (-43.5%) at episode 6, saving model...
11-30 17:37:25: New best reward -2.7 (-30.8%) at episode 25, saving model...
11-30 17:37:28: New best reward -2.1 (-22.2%) at episode 80, saving model...
11-30 17:37:28: New best reward -0.9 (-57.1%) at episode 89, saving model...
11-30 17:37:30: New best reward 2.7 (-400.0%) at episode 111, saving model...
11-30 17:37:32: New best reward 3.9 (+44.4%) at episode 140, saving model...
11-30 17:37:44: New best reward 6.0 (+53.8%) at episode 335, saving model...
11-30 17:37:50: New best reward 6.3 (+5.0%) at episode 435, saving model...
11-30 17:37:53: New best reward 8.4 (+33.3%) at episode 478, saving model...
11-30 17:38:07: New best reward 8.5 (+1.2%) at episode 701, saving model...
11-30 17:38:16: New best reward 9.1 (+7.1%) at episode 836, saving model...
11-30 17:38:26: New best reward 11.0 (+20.9%) at episode 979, saving model...
11-30 17:38:38: New best reward 13.6 (+23.6%) at episode 1143, saving model...
11-30 17:38:39: New best reward 13.7 (+0.7%) at episode 1153, saving model...
11-30 17:38:39: New best reward 17.9 (+30.7%) at episode 1158, saving model...
11-30 17:39:50: New best reward 18.2 (+1.7%) at episode 2050, saving model...
11-30 17:39:56: New best reward 18.4 (+1.1%) at episode 2123, saving model...
11-30 17:41:08: New best reward 26.9 (+46.2%) at episode 3082, saving model...
11-30 17:42:43: New best reward 28.1 (+4.5%) at episode 4274, saving model...
11-30 17:43:22: New best reward 32.4 (+15.3%) at episode 4705, saving model...
11-30 17:49:20: New best reward 43.5 (+34.3%) at episode 8533, saving model...
11-30 18:04:28: New best reward 43.6 (+0.2%) at episode 16676, saving model...
11-30 18:11:22: New best reward 50.4 (+15.6%) at episode 20784, saving model...
11-30 18:31:07: New best reward 50.6 (+0.4%) at episode 34367, saving model...
