11-28 21:49:59: Training starting...
11-28 21:50:02: New best reward -8.7 (-100.0%) at episode 0, saving model...
11-28 21:50:02: New best reward -8.1 (-6.9%) at episode 2, saving model...
11-28 21:50:02: New best reward -6.9 (-14.8%) at episode 4, saving model...
11-28 21:50:02: New best reward -6.3 (-8.7%) at episode 13, saving model...
11-28 21:50:02: New best reward -4.5 (-28.6%) at episode 14, saving model...
11-28 21:50:03: New best reward -3.3 (-26.7%) at episode 173, saving model...
11-28 21:50:04: New best reward -2.1 (-36.4%) at episode 244, saving model...
11-28 21:50:06: New best reward -0.9 (-57.1%) at episode 609, saving model...
11-28 21:50:07: New best reward 0.3 (-133.3%) at episode 822, saving model...
11-28 21:50:09: New best reward 0.9 (+200.0%) at episode 1052, saving model...
11-28 21:50:10: New best reward 1.5 (+66.7%) at episode 1209, saving model...
11-28 21:50:15: New best reward 2.1 (+40.0%) at episode 1919, saving model...
11-28 21:50:27: New best reward 2.7 (+28.6%) at episode 3777, saving model...
11-28 21:50:33: New best reward 3.9 (+44.4%) at episode 4588, saving model...
11-28 21:50:53: New best reward 4.5 (+15.4%) at episode 7595, saving model...
11-28 21:51:16: New best reward 4.7 (+4.4%) at episode 10805, saving model...
11-28 21:51:24: New best reward 4.9 (+4.3%) at episode 12101, saving model...
11-28 21:51:29: New best reward 6.7 (+36.7%) at episode 12774, saving model...
11-28 21:51:47: New best reward 8.4 (+25.4%) at episode 15286, saving model...
11-28 21:52:54: New best reward 10.5 (+25.0%) at episode 24622, saving model...
11-28 22:01:13: New best reward 12.9 (+22.9%) at episode 82047, saving model...
11-28 22:01:37: New best reward 17.9 (+38.8%) at episode 84511, saving model...
11-28 22:01:58: New best reward 20.1 (+12.3%) at episode 86625, saving model...
11-28 22:02:46: New best reward 22.4 (+11.4%) at episode 91159, saving model...
11-28 22:03:38: New best reward 26.9 (+20.1%) at episode 95781, saving model...
11-28 22:06:22: New best reward 31.9 (+18.6%) at episode 110053, saving model...
11-28 22:06:58: New best reward 34.1 (+6.9%) at episode 113246, saving model...
11-28 22:07:15: New best reward 40.9 (+19.9%) at episode 114626, saving model...
11-28 22:08:39: New best reward 45.9 (+12.2%) at episode 121666, saving model...
11-28 22:09:04: New best reward 55.6 (+21.1%) at episode 123541, saving model...
11-28 22:16:44: New best reward 62.5 (+12.4%) at episode 157741, saving model...
11-28 22:33:26: New best reward 62.8 (+0.5%) at episode 220134, saving model...
11-28 22:38:05: New best reward 64.8 (+3.2%) at episode 236144, saving model...
11-28 23:58:05: New best reward 79.5 (+22.7%) at episode 448399, saving model...
11-29 00:49:37: New best reward 80.6 (+1.4%) at episode 531719, saving model...
